Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/04/04/1300H:  3.361896276473999 seconds
Processing Time for 2022/04/04/1400H:  10.72084355354309 seconds
Processing Time for 2022/04/04/1500H:  6.376563549041748 seconds
Processing Time for 2022/04/04/1600H:  9.175641059875488 seconds
Processing Time for 2022/04/04/1700H:  6.242882013320923 seconds
Processing Time for 2022/04/04/1800H:  11.248379468917847 seconds
Processing Time for 2022/04/04/1900H:  12.808927297592163 seconds
Processing Time for 2022/04/04/2000H:  11.576983213424683 seconds
Processing Time for 2022/04/04/2100H:  5.471187353134155 seconds
Processing Time for 2022/04/04/2200H:  4.8956849575042725 seconds
Processing Time for 2022/04/04/2300H:  2.5248420238494873 seconds
Processing Time for 2022/04/05/0000H:  1.953660488128662 seconds
Processing Time for 2022/04/05/0100H:  1.2205283641815186 seconds
Processing Time for 2022/04/05/0200H:  0.7527260780334473 seconds
Processing Time for 2022/04/05/0300H:  1.119964838027954 seconds
Processing Time for 2022/04/05/0400H:  0.7879796028137207 seconds
Processing Time for 2022/04/05/0500H:  2.7568132877349854 seconds
Processing Time for 2022/04/05/0600H:  4.548436403274536 seconds
Processing Time for 2022/04/05/0700H:  9.737093687057495 seconds
Processing Time for 2022/04/05/0800H:  5.297560691833496 seconds
Processing Time for 2022/04/05/0900H:  11.055750846862793 seconds
Processing Time for 2022/04/05/1000H:  12.771204233169556 seconds
Processing Time for 2022/04/05/1100H:  5.879718780517578 seconds
Processing Time for 2022/04/05/1200H:  12.017388343811035 seconds
Processing Time for 2022/04/05/1300H:  4.591511487960815 seconds
Processing Time for 2022/04/05/1400H:  9.043774843215942 seconds
Processing Time for 2022/04/05/1500H:  7.360197067260742 seconds
Processing Time for 2022/04/05/1600H:  9.434386014938354 seconds
Processing Time for 2022/04/05/1700H:  5.74605131149292 seconds
Processing Time for 2022/04/05/1800H:  12.644349813461304 seconds
Processing Time for 2022/04/05/1900H:  10.164916038513184 seconds
Processing Time for 2022/04/05/2000H:  11.046547412872314 seconds
Processing Time for 2022/04/05/2100H:  6.088560342788696 seconds
Processing Time for 2022/04/05/2200H:  4.662532329559326 seconds
Processing Time for 2022/04/05/2300H:  1.1921377182006836 seconds
Processing Time for 2022/04/06/0000H:  0.8601481914520264 seconds
Processing Time for 2022/04/06/0100H:  0.7458734512329102 seconds
Processing Time for 2022/04/06/0200H:  0.8082339763641357 seconds
Processing Time for 2022/04/06/0300H:  0.8851010799407959 seconds
Processing Time for 2022/04/06/0400H:  0.7471904754638672 seconds
Processing Time for 2022/04/06/0500H:  2.2269115447998047 seconds
Processing Time for 2022/04/06/0600H:  3.8314342498779297 seconds
Processing Time for 2022/04/06/0700H:  10.34727430343628 seconds
Processing Time for 2022/04/06/0800H:  5.366820812225342 seconds
Processing Time for 2022/04/06/0900H:  12.412434101104736 seconds
Processing Time for 2022/04/06/1000H:  13.566020250320435 seconds
Processing Time for 2022/04/06/1100H:  7.483424663543701 seconds
Processing Time for 2022/04/06/1200H:  11.829397678375244 seconds
Processing Time for 2022/04/06/1300H:  3.531425714492798 seconds
Processing Time for 2022/04/06/1400H:  9.977501392364502 seconds
Processing Time for 2022/04/06/1500H:  7.318557977676392 seconds
Processing Time for 2022/04/06/1600H:  8.898406744003296 seconds
Processing Time for 2022/04/06/1700H:  6.575575113296509 seconds
Processing Time for 2022/04/06/1800H:  9.676286458969116 seconds
Processing Time for 2022/04/06/1900H:  11.216983079910278 seconds
Processing Time for 2022/04/06/2000H:  11.359822988510132 seconds
Processing Time for 2022/04/06/2100H:  5.78943395614624 seconds
Processing Time for 2022/04/06/2200H:  4.830966472625732 seconds
Processing Time for 2022/04/06/2300H:  1.6630098819732666 seconds
Processing Time for 2022/04/07/0000H:  1.2262256145477295 seconds
Processing Time for 2022/04/07/0100H:  0.6180341243743896 seconds
Processing Time for 2022/04/07/0200H:  0.5278580188751221 seconds
Processing Time for 2022/04/07/0300H:  0.651463508605957 seconds
Processing Time for 2022/04/07/0400H:  0.417022705078125 seconds
Processing Time for 2022/04/07/0500H:  2.2021405696868896 seconds
Processing Time for 2022/04/07/0600H:  4.619596242904663 seconds
Processing Time for 2022/04/07/0700H:  9.772696495056152 seconds
Processing Time for 2022/04/07/0800H:  4.3732099533081055 seconds
Processing Time for 2022/04/07/0900H:  11.354684352874756 seconds
Processing Time for 2022/04/07/1000H:  15.078050374984741 seconds
Processing Time for 2022/04/07/1100H:  7.240988731384277 seconds
Processing Time for 2022/04/07/1200H:  12.323779821395874 seconds
Processing Time for 2022/04/07/1300H:  4.169331789016724 seconds
Processing Time for 2022/04/07/1400H:  10.260217189788818 seconds
Processing Time for 2022/04/07/1500H:  7.587583541870117 seconds
Processing Time for 2022/04/07/1600H:  10.969186782836914 seconds
Processing Time for 2022/04/07/1700H:  8.25762152671814 seconds
Processing Time for 2022/04/07/1800H:  11.710253953933716 seconds
Processing Time for 2022/04/07/1900H:  13.389303922653198 seconds
Processing Time for 2022/04/07/2000H:  11.801290035247803 seconds
Processing Time for 2022/04/07/2100H:  6.706943988800049 seconds
Processing Time for 2022/04/07/2200H:  4.92999267578125 seconds
Processing Time for 2022/04/07/2300H:  1.622758388519287 seconds
Processing Time for 2022/04/08/0000H:  1.2116005420684814 seconds
Processing Time for 2022/04/08/0100H:  0.9278640747070312 seconds
Processing Time for 2022/04/08/0200H:  0.3402559757232666 seconds
Processing Time for 2022/04/08/0300H:  0.4972362518310547 seconds
Processing Time for 2022/04/08/0400H:  0.4310793876647949 seconds
Processing Time for 2022/04/08/0500H:  2.250960111618042 seconds
Processing Time for 2022/04/08/0600H:  3.726500988006592 seconds
Processing Time for 2022/04/08/0700H:  8.80001425743103 seconds
Processing Time for 2022/04/08/0800H:  4.328195810317993 seconds
Processing Time for 2022/04/08/0900H:  12.031903982162476 seconds
Processing Time for 2022/04/08/1000H:  13.267637491226196 seconds
Processing Time for 2022/04/08/1100H:  10.521027565002441 seconds
Processing Time for 2022/04/08/1200H:  11.232229709625244 seconds
Processing Time for 2022/04/08/1300H:  3.693934440612793 seconds
Processing Time for 2022/04/08/1400H:  10.27744722366333 seconds
Processing Time for 2022/04/08/1500H:  7.7746992111206055 seconds
Processing Time for 2022/04/08/1600H:  10.322156429290771 seconds
Processing Time for 2022/04/08/1700H:  6.950517654418945 seconds
Processing Time for 2022/04/08/1800H:  11.92038893699646 seconds
Processing Time for 2022/04/08/1900H:  12.582826137542725 seconds
Processing Time for 2022/04/08/2000H:  12.109327554702759 seconds
Processing Time for 2022/04/08/2100H:  5.804657459259033 seconds
Processing Time for 2022/04/08/2200H:  3.194645643234253 seconds
Processing Time for 2022/04/08/2300H:  1.0693058967590332 seconds
Processing Time for 2022/04/09/0000H:  0.7849264144897461 seconds
Processing Time for 2022/04/09/0100H:  0.5057761669158936 seconds
Processing Time for 2022/04/09/0200H:  0.13543295860290527 seconds
Processing Time for 2022/04/09/0300H:  0.322983980178833 seconds
Processing Time for 2022/04/09/0400H:  0.15761494636535645 seconds
Processing Time for 2022/04/09/0500H:  1.1907739639282227 seconds
Processing Time for 2022/04/09/0600H:  2.815581798553467 seconds
Processing Time for 2022/04/09/0700H:  9.300376176834106 seconds
Processing Time for 2022/04/09/0800H:  5.5854809284210205 seconds
Processing Time for 2022/04/09/0900H:  13.935481309890747 seconds
Processing Time for 2022/04/09/1000H:  13.270517110824585 seconds
Processing Time for 2022/04/09/1100H:  6.882477760314941 seconds
Processing Time for 2022/04/09/1200H:  11.913790941238403 seconds
Processing Time for 2022/04/09/1300H:  3.16471529006958 seconds
Processing Time for 2022/04/09/1400H:  10.080068111419678 seconds
Processing Time for 2022/04/09/1500H:  5.785118818283081 seconds
Processing Time for 2022/04/09/1600H:  9.351606130599976 seconds
Processing Time for 2022/04/09/1700H:  5.0244505405426025 seconds
Processing Time for 2022/04/09/1800H:  9.090943813323975 seconds
Processing Time for 2022/04/09/1900H:  9.797430515289307 seconds
Processing Time for 2022/04/09/2000H:  9.545953273773193 seconds
Processing Time for 2022/04/09/2100H:  4.965608596801758 seconds
Processing Time for 2022/04/09/2200H:  2.581939220428467 seconds
Processing Time for 2022/04/09/2300H:  0.6431612968444824 seconds
Processing Time for 2022/04/10/0000H:  0.29655957221984863 seconds
Processing Time for 2022/04/10/0100H:  0.2747824192047119 seconds
Processing Time for 2022/04/10/0200H:  0.15077614784240723 seconds
Processing Time for 2022/04/10/0300H:  0.30530381202697754 seconds
Processing Time for 2022/04/10/0400H:  0.16784238815307617 seconds
Processing Time for 2022/04/10/0500H:  1.5341331958770752 seconds
Processing Time for 2022/04/10/0600H:  2.723727226257324 seconds
Processing Time for 2022/04/10/0700H:  8.49748945236206 seconds
Processing Time for 2022/04/10/0800H:  3.8265490531921387 seconds
Processing Time for 2022/04/10/0900H:  12.10892653465271 seconds
Processing Time for 2022/04/10/1000H:  13.306171655654907 seconds
Processing Time for 2022/04/10/1100H:  5.789752721786499 seconds
Processing Time for 2022/04/10/1200H:  10.926574945449829 seconds
Processing Time for 2022/04/10/1300H:  2.864483118057251 seconds
Processing Time for 2022/04/10/1400H:  9.36171269416809 seconds
Processing Time for 2022/04/10/1500H:  5.864270925521851 seconds
Processing Time for 2022/04/10/1600H:  9.222701787948608 seconds
Processing Time for 2022/04/10/1700H:  5.065855503082275 seconds
Processing Time for 2022/04/10/1800H:  11.065968036651611 seconds
Processing Time for 2022/04/10/1900H:  10.772496700286865 seconds
Processing Time for 2022/04/10/2000H:  10.570389747619629 seconds
Processing Time for 2022/04/10/2100H:  5.810046195983887 seconds
Processing Time for 2022/04/10/2200H:  3.718153476715088 seconds
Processing Time for 2022/04/10/2300H:  1.3722283840179443 seconds
Processing Time for 2022/04/11/0000H:  1.3133256435394287 seconds
Processing Time for 2022/04/11/0100H:  0.5454375743865967 seconds
Processing Time for 2022/04/11/0200H:  0.32245326042175293 seconds
Processing Time for 2022/04/11/0300H:  0.49765872955322266 seconds
Processing Time for 2022/04/11/0400H:  0.34291911125183105 seconds
Processing Time for 2022/04/11/0500H:  2.0101442337036133 seconds
Processing Time for 2022/04/11/0600H:  3.1512978076934814 seconds
Processing Time for 2022/04/11/0700H:  8.25261640548706 seconds
Processing Time for 2022/04/11/0800H:  8.221924543380737 seconds
Processing Time for 2022/04/11/0900H:  12.794005870819092 seconds
Processing Time for 2022/04/11/1000H:  14.993510007858276 seconds
Processing Time for 2022/04/11/1100H:  7.344483137130737 seconds
Processing Time for 2022/04/11/1200H:  12.232924461364746 seconds
Processing Time for 2022/04/11/1300H:  4.588852643966675 seconds
Processing Time for 2022/04/11/1400H:  10.87222957611084 seconds
Processing Time for 2022/04/11/1500H:  8.509650468826294 seconds
Processing Time for 2022/04/11/1600H:  9.399033069610596 seconds
Processing Time for 2022/04/11/1700H:  5.70234751701355 seconds
Processing Time for 2022/04/11/1800H:  10.91179347038269 seconds
Processing Time for 2022/04/11/1900H:  11.51806092262268 seconds
Processing Time for 2022/04/11/2000H:  11.579110383987427 seconds
Processing Time for 2022/04/11/2100H:  5.719549655914307 seconds
Processing Time for 2022/04/11/2200H:  4.363968133926392 seconds
Processing Time for 2022/04/11/2300H:  1.4839086532592773 seconds
Processing Time for 2022/04/12/0000H:  1.0816760063171387 seconds
Processing Time for 2022/04/12/0100H:  0.5693938732147217 seconds
Processing Time for 2022/04/12/0200H:  0.6276519298553467 seconds
Processing Time for 2022/04/12/0300H:  0.7675282955169678 seconds
Processing Time for 2022/04/12/0400H:  0.6167070865631104 seconds
Processing Time for 2022/04/12/0500H:  2.542332410812378 seconds
Processing Time for 2022/04/12/0600H:  3.5554869174957275 seconds
Processing Time for 2022/04/12/0700H:  9.672221183776855 seconds
Processing Time for 2022/04/12/0800H:  4.418389320373535 seconds
Processing Time for 2022/04/12/0900H:  11.085741996765137 seconds
Processing Time for 2022/04/12/1000H:  11.260600805282593 seconds
Processing Time for 2022/04/12/1100H:  6.96040940284729 seconds
Processing Time for 2022/04/12/1200H:  11.102415084838867 seconds
Processing Time for 2022/04/12/1300H:  2.5162341594696045 seconds
Processing Time for 2022/04/12/1400H:  9.727500915527344 seconds
Processing Time for 2022/04/12/1500H:  7.081388235092163 seconds
Processing Time for 2022/04/12/1600H:  9.959787130355835 seconds
Processing Time for 2022/04/12/1700H:  5.7674641609191895 seconds
Processing Time for 2022/04/12/1800H:  10.70160174369812 seconds
Processing Time for 2022/04/12/1900H:  11.397343635559082 seconds
Processing Time for 2022/04/12/2000H:  11.17609453201294 seconds
Processing Time for 2022/04/12/2100H:  6.209090948104858 seconds
Processing Time for 2022/04/12/2200H:  4.668161630630493 seconds
Processing Time for 2022/04/12/2300H:  1.3191406726837158 seconds
Processing Time for 2022/04/13/0000H:  0.6897745132446289 seconds
Processing Time for 2022/04/13/0100H:  0.14704537391662598 seconds
Processing Time for 2022/04/13/0200H:  0.14863204956054688 seconds
Processing Time for 2022/04/13/0300H:  0.27752232551574707 seconds
Processing Time for 2022/04/13/0400H:  0.14429211616516113 seconds
Processing Time for 2022/04/13/0500H:  2.033527135848999 seconds
Processing Time for 2022/04/13/0600H:  3.461664915084839 seconds
Processing Time for 2022/04/13/0700H:  9.727749824523926 seconds
Processing Time for 2022/04/13/0800H:  4.800365924835205 seconds
Processing Time for 2022/04/13/0900H:  11.887582778930664 seconds
Processing Time for 2022/04/13/1000H:  14.705861568450928 seconds
Processing Time for 2022/04/13/1100H:  11.136245489120483 seconds
Processing Time for 2022/04/13/1200H:  12.255836486816406 seconds
Processing Time for 2022/04/13/1300H:  3.4561150074005127 seconds
Processing Time for 2022/04/13/1400H:  9.557844877243042 seconds
Processing Time for 2022/04/13/1500H:  9.359924793243408 seconds
Processing Time for 2022/04/13/1600H:  10.94417119026184 seconds
Processing Time for 2022/04/13/1700H:  8.349388122558594 seconds
Processing Time for 2022/04/13/1800H:  13.714668273925781 seconds
Processing Time for 2022/04/13/1900H:  17.14740490913391 seconds
Processing Time for 2022/04/13/2000H:  12.397856712341309 seconds
Processing Time for 2022/04/13/2100H:  8.418639421463013 seconds
Processing Time for 2022/04/13/2200H:  6.098781108856201 seconds
Processing Time for 2022/04/13/2300H:  2.0830907821655273 seconds
Processing Time for 2022/04/14/0000H:  1.8678867816925049 seconds
Processing Time for 2022/04/14/0100H:  0.8878581523895264 seconds
Processing Time for 2022/04/14/0200H:  0.7388622760772705 seconds
Processing Time for 2022/04/14/0300H:  0.8925046920776367 seconds
Processing Time for 2022/04/14/0400H:  0.6289269924163818 seconds
Processing Time for 2022/04/14/0500H:  2.2440953254699707 seconds
Processing Time for 2022/04/14/0600H:  4.806233644485474 seconds
Processing Time for 2022/04/14/0700H:  9.814042091369629 seconds
Processing Time for 2022/04/14/0800H:  3.818190097808838 seconds
Processing Time for 2022/04/14/0900H:  11.484560489654541 seconds
Processing Time for 2022/04/14/1000H:  13.12004542350769 seconds
Processing Time for 2022/04/14/1100H:  6.456183671951294 seconds
Processing Time for 2022/04/14/1200H:  11.856474876403809 seconds
Processing Time for 2022/04/14/1300H:  3.5308799743652344 seconds
Processing Time for 2022/04/14/1400H:  9.689433097839355 seconds
Processing Time for 2022/04/14/1500H:  6.155141353607178 seconds
Processing Time for 2022/04/14/1600H:  10.621809244155884 seconds
Processing Time for 2022/04/14/1700H:  5.422168254852295 seconds
Processing Time for 2022/04/14/1800H:  11.396602630615234 seconds
Processing Time for 2022/04/14/1900H:  11.04559588432312 seconds
Processing Time for 2022/04/14/2000H:  10.701068639755249 seconds
Processing Time for 2022/04/14/2100H:  5.573523283004761 seconds
Processing Time for 2022/04/14/2200H:  4.291437387466431 seconds
Processing Time for 2022/04/14/2300H:  0.7572329044342041 seconds
Processing Time for 2022/04/15/0000H:  0.5863358974456787 seconds
Processing Time for 2022/04/15/0100H:  0.5231316089630127 seconds
Processing Time for 2022/04/15/0200H:  0.35053443908691406 seconds
Processing Time for 2022/04/15/0300H:  0.4565122127532959 seconds
Processing Time for 2022/04/15/0400H:  0.1605377197265625 seconds
Processing Time for 2022/04/15/0500H:  1.8871490955352783 seconds
Processing Time for 2022/04/15/0600H:  4.141215562820435 seconds
Processing Time for 2022/04/15/0700H:  8.80400037765503 seconds
Processing Time for 2022/04/15/0800H:  4.812214612960815 seconds
Processing Time for 2022/04/15/0900H:  12.2169189453125 seconds
Processing Time for 2022/04/15/1000H:  13.960982322692871 seconds
Processing Time for 2022/04/15/1100H:  6.962438583374023 seconds
Processing Time for 2022/04/15/1200H:  12.179946422576904 seconds
Processing Time for 2022/04/15/1300H:  4.260464191436768 seconds
Processing Time for 2022/04/15/1400H:  10.78406310081482 seconds
Processing Time for 2022/04/15/1500H:  6.576573848724365 seconds
Processing Time for 2022/04/15/1600H:  10.5899019241333 seconds
Processing Time for 2022/04/15/1700H:  5.666507959365845 seconds
Processing Time for 2022/04/15/1800H:  10.214192152023315 seconds
Processing Time for 2022/04/15/1900H:  12.255454063415527 seconds
Processing Time for 2022/04/15/2000H:  11.264734745025635 seconds
Processing Time for 2022/04/15/2100H:  6.101168870925903 seconds
Processing Time for 2022/04/15/2200H:  5.566552639007568 seconds
Processing Time for 2022/04/15/2300H:  1.3561320304870605 seconds
Processing Time for 2022/04/16/0000H:  0.5373976230621338 seconds
Processing Time for 2022/04/16/0100H:  0.5109615325927734 seconds
Processing Time for 2022/04/16/0200H:  0.3060119152069092 seconds
Processing Time for 2022/04/16/0300H:  0.4973869323730469 seconds
Processing Time for 2022/04/16/0400H:  0.3345515727996826 seconds
Processing Time for 2022/04/16/0500H:  1.8526630401611328 seconds
Processing Time for 2022/04/16/0600H:  3.0283780097961426 seconds
Processing Time for 2022/04/16/0700H:  8.806220054626465 seconds
Processing Time for 2022/04/16/0800H:  4.818292856216431 seconds
Processing Time for 2022/04/16/0900H:  12.614235401153564 seconds
Processing Time for 2022/04/16/1000H:  12.154589414596558 seconds
Processing Time for 2022/04/16/1100H:  5.059327840805054 seconds
Processing Time for 2022/04/16/1200H:  10.685688018798828 seconds
Processing Time for 2022/04/16/1300H:  1.7520952224731445 seconds
Processing Time for 2022/04/16/1400H:  9.333823680877686 seconds
Processing Time for 2022/04/16/1500H:  5.879943132400513 seconds
Processing Time for 2022/04/16/1600H:  9.000723838806152 seconds
Processing Time for 2022/04/16/1700H:  5.441792011260986 seconds
Processing Time for 2022/04/16/1800H:  9.530763387680054 seconds
Processing Time for 2022/04/16/1900H:  9.868968725204468 seconds
Processing Time for 2022/04/16/2000H:  11.0417959690094 seconds
Processing Time for 2022/04/16/2100H:  4.5879528522491455 seconds
Processing Time for 2022/04/16/2200H:  2.304441213607788 seconds
Processing Time for 2022/04/16/2300H:  0.8059976100921631 seconds
Processing Time for 2022/04/17/0000H:  0.5892815589904785 seconds
Processing Time for 2022/04/17/0100H:  0.46618008613586426 seconds
Processing Time for 2022/04/17/0200H:  0.3196444511413574 seconds
Processing Time for 2022/04/17/0300H:  0.5126707553863525 seconds
Processing Time for 2022/04/17/0400H:  0.4197371006011963 seconds
Processing Time for 2022/04/17/0500H:  1.655639410018921 seconds
Processing Time for 2022/04/17/0600H:  3.050907850265503 seconds
Processing Time for 2022/04/17/0700H:  8.195496797561646 seconds
Processing Time for 2022/04/17/0800H:  4.241712808609009 seconds
Processing Time for 2022/04/17/0900H:  12.011775970458984 seconds
Processing Time for 2022/04/17/1000H:  13.136093378067017 seconds
Processing Time for 2022/04/17/1100H:  6.895343065261841 seconds
Processing Time for 2022/04/17/1200H:  10.849193572998047 seconds
Processing Time for 2022/04/17/1300H:  2.3622169494628906 seconds
Processing Time for 2022/04/17/1400H:  9.563759565353394 seconds
Processing Time for 2022/04/17/1500H:  6.351266622543335 seconds
Processing Time for 2022/04/17/1600H:  9.308561325073242 seconds
Processing Time for 2022/04/17/1700H:  4.6315741539001465 seconds
Processing Time for 2022/04/17/1800H:  10.667348384857178 seconds
Processing Time for 2022/04/17/1900H:  10.999922037124634 seconds
Processing Time for 2022/04/17/2000H:  10.929972171783447 seconds
Processing Time for 2022/04/17/2100H:  5.661556243896484 seconds
Processing Time for 2022/04/17/2200H:  2.7285945415496826 seconds
Processing Time for 2022/04/17/2300H:  1.0524570941925049 seconds
Processing Time for 2022/04/18/0000H:  1.0467512607574463 seconds
Processing Time for 2022/04/18/0100H:  0.5544371604919434 seconds
Processing Time for 2022/04/18/0200H:  0.309798002243042 seconds
Processing Time for 2022/04/18/0300H:  0.6365997791290283 seconds
Processing Time for 2022/04/18/0400H:  0.544893741607666 seconds
Processing Time for 2022/04/18/0500H:  1.8243656158447266 seconds
Processing Time for 2022/04/18/0600H:  3.2594292163848877 seconds
Processing Time for 2022/04/18/0700H:  9.015538930892944 seconds
Processing Time for 2022/04/18/0800H:  3.7705821990966797 seconds
Processing Time for 2022/04/18/0900H:  11.669082641601562 seconds
Processing Time for 2022/04/18/1000H:  11.982099771499634 seconds
Processing Time for 2022/04/18/1100H:  6.9853291511535645 seconds
Processing Time for 2022/04/18/1200H:  12.263185024261475 seconds
Processing Time for 2022/04/18/1300H:  3.6387884616851807 seconds
Processing Time for 2022/04/18/1400H:  10.062216997146606 seconds
Processing Time for 2022/04/18/1500H:  6.811698913574219 seconds
Processing Time for 2022/04/18/1600H:  9.550617218017578 seconds
Processing Time for 2022/04/18/1700H:  5.432682037353516 seconds
Processing Time for 2022/04/18/1800H:  10.131264925003052 seconds
Processing Time for 2022/04/18/1900H:  10.136215686798096 seconds
Processing Time for 2022/04/18/2000H:  10.007946252822876 seconds
Processing Time for 2022/04/18/2100H:  5.06244683265686 seconds
Processing Time for 2022/04/18/2200H:  3.92956280708313 seconds
Processing Time for 2022/04/18/2300H:  1.3265321254730225 seconds
Processing Time for 2022/04/19/0000H:  0.7625296115875244 seconds
Processing Time for 2022/04/19/0100H:  0.1856062412261963 seconds
Processing Time for 2022/04/19/0200H:  0.15981173515319824 seconds
Processing Time for 2022/04/19/0300H:  0.331249475479126 seconds
Processing Time for 2022/04/19/0400H:  0.16066670417785645 seconds
Processing Time for 2022/04/19/0500H:  1.818481683731079 seconds
Processing Time for 2022/04/19/0600H:  3.719204902648926 seconds
Processing Time for 2022/04/19/0700H:  9.511883735656738 seconds
Processing Time for 2022/04/19/0800H:  3.6491780281066895 seconds
Processing Time for 2022/04/19/0900H:  11.184040784835815 seconds
Processing Time for 2022/04/19/1000H:  12.061438798904419 seconds
Processing Time for 2022/04/19/1100H:  5.720750331878662 seconds
Processing Time for 2022/04/19/1200H:  9.868695735931396 seconds
Processing Time for 2022/04/19/1300H:  2.960114002227783 seconds
